F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
-14,570,-2.34,25.1,30,5.25,138.66,36.76,-11.1,14.36,-4.99,-1.18,-836.22,-3.56,-8.34,True
-4,840,-4.69,29.5,30,7.3,48.66,29.46,-7.26,14.18,-4.97,-7.1,-626.22,-2.75,-6.78,False
-1,63,-7.35,3.6,0,0.19,-131.34,20.66,11.64,19.22,-5.41,2.88,-474.22,0.53,-7.71,True
-24,795,-3.95,26.7,30,5.8,-146.34,31.26,-1.77,12.6,-5.41,-4.5,-746.22,-2.81,,False
1,9,-10.19,4.26,3,0.91,-56.34,19,15.42,19.86,-6.48,1.6,-456.22,1.44,-6.28,False
-4,990,-1.34,12,30,7,78.66,38.06,-12.39,10.12,-7.77,-9.9,-526.22,-3.43,,False
-24,1050,-2.79,10.7,30,6,-311.34,33.86,-1.59,12.14,-4.85,-8.74,-736.22,-2.33,-6.23,False
-3,105,-7,4.08,3,0.81,-134.34,20.62,3.87,20.44,-7.51,2.92,-528.22,4.01,,True
-24,855,-2.12,11.3,30,9.2,-326.34,28.86,-9.21,11.1,-4.52,-7.6,-566.22,-2.98,,True
-14,1140,-2.29,29.9,30,5.7,-146.34,32.86,-9.63,9.76,-4.63,-7.44,-496.22,-2.88,-9.18,True
-3,90,-6.6,2.98,3,0.88,-107.34,20.56,6.54,22.76,-5.67,0.48,-536.22,0.69,,True
-1,12,-8.5,3.04,3,0.13,-116.34,19.7,7.92,21.12,-5.93,2.08,-490.22,0.95,,False
-14,225,-4.52,18,30,7.35,-206.34,32.26,-5.67,11.16,-4.28,-6.08,-776.22,-2.11,,False
-4,720,-1.98,28.6,30,7.65,78.66,34.36,-7.47,9.02,-5.95,-7.78,-536.22,1.28,-9.11,True
-3,72,-6.82,3.98,3,0.81,-107.34,19.86,4.59,21.48,-5.33,3.22,-498.22,0.87,,True
-1,63,-10.55,2.7,3,0.82,-119.34,20.62,10.98,24.26,-5.93,1.84,-534.22,0.82,-8.87,True
-14,975,-2.4,14.1,30,5.35,-161.34,35.16,-9.6,11.34,-6.82,-8.56,-816.22,-3.78,-5.98,False
-1,105,-6.7,3.14,3,0.36,-56.34,20.74,3.54,21.92,-7.68,9.24,-526.22,2.25,-8.15,True
-1,84,-6.65,3.62,3,0.86,-113.34,20.3,6.78,19.36,-5.31,-0.22,-538.22,1.23,-8.32,True
-1,3,-8.98,2.56,3,0.18,-77.34,19.48,5.97,27.14,-6.12,0.4,-462.22,1.71,-5.63,False
-3,6,-8.5,0.24,3,0.58,-143.34,19.16,10.95,19.7,-5.38,2.48,-480.22,3.75,-6.36,False
-4,45,-3.77,10.4,30,9.1,3.66,27.66,-5.97,11.92,-7.16,-3.34,-656.22,-3.12,-5.62,False
-3,165,-6.94,1.76,3,0.4,-128.34,20.4,4.08,20.7,-5.55,1.16,-536.22,1.44,-6.38,False
-24,435,-5.77,23.2,30,5.75,-326.34,29.26,2.58,15.48,-4.47,-1.52,-866.22,-1.72,,False
-14,600,-2.35,20.2,30,7.05,-41.34,34.36,-8.4,12.24,-5.22,-2.1,-896.22,-3.39,-7.38,True
-3,138,-8.18,3.8,3,0.97,-122.34,19.44,14.61,22.42,-5.79,0.08,-490.22,0.86,-7.79,False
-1,12,-8.04,0.7,3,0.71,-152.34,19.66,5.13,19.3,-5.58,2.78,-520.22,0.98,-7.57,False
-19,645,-3.7,19.6,30,9.7,-116.34,29.56,-7.95,12.7,-4.57,4.72,-886.22,-1.69,,False
-14,645,-3.78,16.1,30,8,-221.34,32.96,-11.46,9.54,-8.07,-9.62,-686.22,-3.65,,True
-1,24,-7.23,3.26,3,0.31,-146.34,20.6,3.69,24.84,-5.49,2.84,-522.22,0.76,,True
-1,18,-7.41,2.4,3,0.68,-68.34,19.62,10.74,27.82,-7.68,2.14,-536.22,3.17,-6.85,False
-14,45,-3.2,13.3,30,5.35,108.66,29.36,-6.99,12.42,-4.87,-4.62,-536.22,-2.68,-7.41,False
-1,27,-7.67,1.94,3,0.64,-137.34,19.96,4.53,19.54,-7.08,-0.06,-540.22,1.44,,False
-14,195,-3.94,13,30,7.7,-131.34,31.36,0.21,11.76,-4.79,-3.8,-856.22,-3.38,-6.61,False
-4,405,-3.55,18.6,30,6.45,153.66,33.76,-7.53,10.9,-6.38,-7,-896.22,-3.2,,False
-14,285,-4.11,11.6,30,8.95,-86.34,30.66,-8.64,18.02,-4.42,-6.06,-596.22,-3.41,-8.73,True
-14,990,-2.65,23.2,30,8.75,-11.34,31.56,-6.06,12.3,-5.42,-8,-886.22,-3.49,,False
-1,105,-7.37,2.64,3,0.9,-53.34,19.6,6.78,19.08,-7.19,2.36,-454.22,0.68,-7.07,True
-1,9,-8.98,2.52,3,0.02,-146.34,19.2,6.87,20.98,-6.39,4.54,-478.22,2.3,-6.24,False
-14,1110,-4.43,21.8,30,6.7,-236.34,30.56,-4.5,14.22,-6.2,-4.32,-896.22,-1.33,-6.3,False
-1,72,-8.48,3.16,3,0.14,-71.34,20.76,16.59,21.16,-6.27,0.38,-468.22,3.5,-6.7,True
-24,90,-3.96,15.7,30,5.3,-266.34,29.06,0.96,13.02,-6.05,-5.5,-576.22,-1.77,-6.24,False
-3,39,-8.08,2.34,3,0.85,-131.34,20.62,13.56,25.26,-6.01,3.24,-468.22,1.55,,True
-14,750,-2.67,16.4,30,9,-206.34,31.56,-9.72,14.76,-5.24,4.38,-906.22,-0.61,,False
-1,159,-7.92,2.76,3,0.61,-149.34,20.56,5.46,23.52,-7.68,0.92,-492.22,0.58,-7.27,True
-9,285,-4.08,11.1,30,7.1,-116.34,30.26,-8.49,14.02,-8.24,-3.52,-706.22,1.59,-6.23,False
-1,39,-7.68,2.2,3,0.51,-65.34,19.76,3.78,19.98,-5.84,5.82,-510.22,2.56,,False
-14,675,-4.28,12.8,30,7.45,-86.34,34.16,-10.05,15.88,-5.5,-9.3,-486.22,-4.61,,True
-14,480,-1.53,13.1,30,7.35,-131.34,33.06,-12.03,11.78,-5.74,-10.78,-486.22,-3.75,-7.47,True
-4,360,-3.31,13.2,30,7.8,-11.34,28.96,-3.96,13.64,-5.3,-6.36,-656.22,-2.43,,False
-3,45,-6.97,3.06,3,0.33,-119.34,20.62,8.28,20.82,-5.83,3.52,-530.22,2.15,,True
-3,225,-6.63,3.6,3,0.33,-134.34,20.32,7.47,20.52,-7.93,4.52,-466.22,0.71,,True
-4,990,-1.75,12.4,30,7.25,-71.34,34.36,-10.26,13.22,-7.82,-10.08,-526.22,-2.43,-6.59,False
-1,33,-6.91,3.86,3,0.88,-158.34,18.9,3.9,20.7,-5.37,3.22,-504.22,1.62,-7.16,True
-3,15,-7.3,1.16,3,0.62,-131.34,19.36,5.19,20.5,-7.1,0.34,-524.22,1.1,,False
-1,195,-7.94,2.12,3,0.65,-80.34,20.22,3.48,19.56,-6.12,0.58,-488.22,3.03,,True
-3,6,-7.47,0.98,3,0.18,-146.34,19.78,8.97,21.62,-5.59,0.56,-536.22,1.31,-6.55,False
-1,213,-9.7,3.2,3,0.81,-116.34,19.62,8.25,19.68,-6.02,5.9,-498.22,0.88,-6.91,False
-3,6,-6.96,1.38,3,0.91,-134.34,18.92,6.51,21.08,-5.8,2.12,-534.22,1.26,-7.17,False
-14,285,-3.61,15.2,30,5.95,168.66,29.76,-6.18,12.66,-7.93,-6.22,-606.22,-1.7,-6.35,False
-3,21,-7.56,2.98,3,0.46,-110.34,19,9.57,21.62,-5.95,3.72,-490.22,4.22,,False
-4,810,-4.35,16.8,30,8.7,-26.34,36.06,-9.03,15.82,-8.32,-10.62,-926.22,-4.4,,False
-9,1170,-2.5,25.9,30,5.65,-116.34,35.76,-7.89,12.48,-5.65,-3.2,-846.22,-3.95,,False
-1,99,-9.25,0.3,3,0.73,-119.34,20.12,5.91,19.42,-6.04,-0.56,-490.22,1.31,-7.64,True
-1,39,-7.25,3.88,3,0.78,-131.34,19.98,8.4,21.5,-5.17,9.92,-538.22,1.43,,True
-14,705,-3.68,24.3,30,7.7,93.66,33.66,-11.73,16.22,-6.52,-10.44,-466.22,-3.53,-7.5,True
-1,57,-9.27,3.6,3,0.52,-104.34,19.68,12.3,21.44,-5.98,1.24,-536.22,2.05,,False
-1,18,-8.02,1.58,3,0.46,-62.34,20.54,6.27,19.8,-6.6,3.88,-534.22,2.14,-7.56,False
-24,1050,-2.64,12.5,30,10.35,-281.34,32.96,-12.48,14.12,-4.78,-11.04,-706.22,-2.14,-7.01,True
-1,3,-7.02,3.36,3,0.26,-104.34,20.04,11.13,21.6,-5.57,6.38,-542.22,2.92,-7.48,False
-14,675,-2.57,15.1,30,6.65,-371.34,30.06,-8.88,15.38,-4.14,-4.04,-586.22,-2.79,,False
-3,15,-7.03,0.16,3,0.43,-125.34,19.94,4.86,19.74,-5.37,3.36,-542.22,0.82,-6.5,False
-4,450,-1.94,22.8,30,6.85,-101.34,31.56,-5.73,12.16,-4.25,-9.6,-486.22,-2.03,,True
-1,162,-6.85,2.22,3,0.38,-140.34,20.84,15.6,21,-6.9,-0.78,-506.22,0.63,-6.59,True
-1,54,-9.95,3.82,3,0.76,-119.34,19.58,3.93,20.94,-5.79,2.02,-486.22,1.18,,True
-3,36,-7.84,1.04,3,0.7,-143.34,20.6,6,20.36,-5.51,-0.28,-472.22,1.15,-8.61,True
-24,810,-2.83,19.8,30,8.15,-251.34,30.86,-4.02,11.14,-4.55,-9.38,-716.22,-2.28,-7.6,True
-1,15,-10.26,3.68,3,0.59,-56.34,20,3.75,21.3,-5.51,-0.24,-472.22,1.31,,True
-1,18,-6.94,2.56,3,0.68,-104.34,19.84,16.68,19.5,-6.56,0.6,-514.22,1.47,,False
-4,855,-2.75,16.3,30,8.7,108.66,30.36,-9.15,17.12,-6.37,-8.36,-666.22,-3.28,-5.59,False
-1,15,-10.32,2.92,3,0.93,-68.34,20.5,4.77,19.46,-6.34,-0.44,-510.22,3.76,,True
-4,450,-4.97,11.8,30,7.8,-56.34,29.76,-1.77,14.08,-5.68,-8.24,-686.22,-3.37,-7.06,False
-1,12,-8.63,4.08,3,0.89,-98.34,19.28,6.66,19.3,-6.64,-0.24,-462.22,2.51,,True
1,48,-7.15,4.22,3,0.77,-71.34,19.08,4.71,21,-5.53,1.06,-526.22,3.69,,False
-1,54,-6.53,3.52,3,0.83,-104.34,20.38,3.54,19.98,-5.54,8.52,-480.22,1.83,-8.65,True
-4,450,-1.82,22.2,30,6.8,123.66,36.36,-10.38,9.4,-5.62,-8.96,-746.22,-4.1,-8.04,True
-24,1110,-1.78,17.3,30,6.65,-371.34,34.66,-9.24,9.46,-4.34,-10.78,-536.22,-4.04,,True
-14,660,-2.38,28.3,30,9.35,-71.34,29.46,-6.03,11.56,-4.12,-6.38,-636.22,-3.63,,True
-4,990,-1.41,30.5,30,6.2,-11.34,38.26,-12.27,10.04,-7.05,-9.52,-786.22,-0.73,,True
-14,840,-5.49,13.3,30,7.4,-56.34,28.56,-6.78,14.22,-5.74,-8.14,-596.22,-1.1,-6.95,False
-1,21,-11.08,2.64,3,0.52,-56.34,19.38,12.36,24.74,-6.16,0.64,-518.22,1.27,-6.43,False
-4,570,-1.99,19,30,8.9,108.66,33.06,-0.87,12.02,-5.68,-10.24,-746.22,-3.45,-7.2,False
-4,495,-2.71,22.6,30,6.85,-86.34,31.46,-9.99,14.12,-6.93,-5.6,-596.22,-3.3,,True
-14,270,-4.57,20.5,30,5.5,-296.34,30.66,-5.25,13.16,-3.93,-5.78,-736.22,-2.21,-6.51,False
-4,615,-3.53,26,30,9.5,-11.34,30.36,-8.22,11.02,-5.79,-9.62,-756.22,-3.37,,True
-4,510,-4.83,11.5,30,8.3,-86.34,36.16,-6.45,10.1,-6.88,-9.76,-836.22,-3.86,,True
1,120,-7.27,3.56,3,0.95,-47.34,20.2,9.75,23.18,-5.98,-0.6,-522.22,1.08,-8.9,True
1,12,-7.26,2.58,3,0,-62.34,20.4,14.04,21.42,-8.15,0.98,-484.22,4.01,-6.38,False
-14,765,-3.34,10.5,30,8.6,-41.34,29.76,-9.75,9.72,-5.83,-9.08,-526.22,-3.46,-6.82,False
-1,3,-6.49,0.28,3,0.63,-119.34,20.86,5.16,20.96,-7.73,4.16,-474.22,1.81,-7.39,True
-1,48,-6.66,1.4,3,0.31,-122.34,20.46,5.01,24.6,-6.23,3.4,-512.22,0.97,-6.45,False
-1,9,-6.55,0.16,0,0.9,-137.34,20.08,3.96,20.48,-5.92,0.06,-534.22,1.02,,True
-4,360,-3,15.6,30,5.3,108.66,32.46,-0.6,11.46,-5.66,-3.84,-536.22,-3.16,,False
-14,540,-4.4,27,30,7.2,-341.34,31.06,-5.73,12.84,-3.85,-5.96,-896.22,-2.58,-5.17,False
-4,120,-3.99,25.6,30,5.7,78.66,31.56,-5.34,11.86,-4.15,-5.68,-766.22,-2.75,,False
-1,42,-7.52,3.92,3,0.8,-80.34,20.38,12.9,19,-6.34,3.1,-506.22,3.46,-7.45,True
1,21,-7.21,2.32,3,0.3,-86.34,20.56,6.51,21.2,-6.06,0.38,-494.22,0.95,,False
1,9,-9.36,1.32,3,0.86,-86.34,20.24,8.04,19.62,-6.09,7.38,-504.22,1.94,,True
-14,450,-1.92,17.3,30,9,48.66,31.26,-10.89,9.44,-5.79,-8.22,-676.22,-2.15,,True
-14,750,-1.27,12.1,30,7.2,-311.34,37.16,-10.38,15.06,-5.06,-7,-666.22,-4.14,-7.11,True
-4,720,-4.91,27.4,30,7.2,-71.34,31.26,5.19,11.88,-6.08,-7.22,-826.22,-1.8,-6.76,False
-3,234,-7.38,3.3,3,0.43,-104.34,20.6,15.15,20.82,-5.69,1.5,-498.22,2.7,,True
-9,540,-2.78,14.1,30,5.9,-116.34,29.56,-7.68,13.54,-5.28,-6.24,-456.22,-1.81,,False
-14,1035,-2.74,18,30,10,-26.34,29.46,-8.46,10.52,-9.93,-9.06,-666.22,-0.81,,False
-3,138,-7.16,2.22,3,0.61,-110.34,20.18,6.09,27.88,-8.61,-0.36,-542.22,0.81,,False
1,9,-7.74,2.66,3,0.63,-71.34,19.72,8.4,20.9,-7.67,0.12,-532.22,6.89,,False
-24,255,-5.98,19.1,30,7.4,-296.34,28.86,-2.67,14.16,-4.39,-6.26,-846.22,-1.56,,False
-1,123,-10.27,3.24,3,0.67,-44.34,20.24,8.67,20.3,-6.64,0.04,-520.22,0.88,,True
-4,240,-3.13,16.8,30,5.15,153.66,37.96,-5.52,9.08,-5.57,-10.74,-736.22,-4.31,-7.36,True
-1,51,-7.69,0.2,3,0.54,-137.34,20.56,4.02,19.12,-6.71,1.32,-542.22,0.89,,False
-1,27,-6.73,2.46,3,0.49,-113.34,19.88,5.58,21.8,-5.67,-0.22,-472.22,1.16,,False
-14,1095,-3.93,11.8,30,7.65,153.66,35.96,-12.15,8.8,-6.53,-10.78,-746.22,-4.57,-6.21,False
-3,39,-6.84,1.62,3,0.79,-140.34,19.94,11.28,21.82,-5.5,4.14,-540.22,2.52,,True
1,30,-6.66,3.54,3,1.02,-98.34,19.62,3.51,21.6,-6.77,4.62,-482.22,0.77,-7.72,True
-14,360,-2.82,10.1,30,9.3,78.66,30.46,-7.98,15.6,-5.71,-7.08,-756.22,-3.63,,False
-24,1035,-2.44,15.1,30,5.85,-281.34,35.16,0.78,12.46,-5.55,-8.56,-846.22,-3.31,,True
-1,27,-7.94,2.96,3,0.61,-104.34,19.08,4.86,21.4,-6.18,4.3,-472.22,1.23,,False
-14,765,-2.27,16.2,30,8.45,-206.34,34.86,-11.07,10.18,-5.04,-7.74,-866.22,-3,-7.66,True
-1,6,-6.95,3.82,3,0.4,-86.34,19.42,5.37,19.98,-5.37,4.5,-458.22,1.57,,False
-4,855,-2.91,20.2,30,8.65,33.66,34.76,-12,11.22,-6.71,-9.84,-816.22,-4.07,,False
-4,645,-3.36,21.9,30,9.9,3.66,32.16,-10.32,16.86,-6.46,-4.8,-756.22,-3.2,,True
-3,63,-7.76,1.78,3,0.76,-152.34,20.16,3.75,21.72,-6.66,-0.12,-474.22,1,-8.62,True
-1,24,-7.11,0,3,0.92,-158.34,19.48,3.63,20.14,-5.82,11.6,-536.22,0.78,,False
-4,1110,-2.28,12.7,30,9.8,138.66,29.76,-8.79,12.4,-6.49,-8.6,-446.22,-0.98,,False
1,186,-7.23,1.98,3,0.95,-98.34,20.72,2.49,19.62,-6.18,-1.28,-472.22,1.01,,True
-1,6,-9.11,1.72,3,0.48,-86.34,20.48,7.98,19.34,-8.21,2.9,-496.22,4.64,-7.91,True
-3,24,-6.67,3.66,3,0.52,-119.34,20.46,6.09,23.18,-5.5,0.94,-544.22,0.95,,True
1,60,-6.77,4.08,0,0.79,-68.34,20.66,5.52,20.12,-5.78,0.64,-486.22,0.31,,True
-1,156,-7.77,0.86,3,0.85,-107.34,20.62,8.61,19.16,-6.31,-0.26,-512.22,1.35,,True
-3,150,-7.28,0.88,3,0.4,-104.34,20.5,5.61,20.08,-5.8,1.02,-470.22,0.76,-7.96,True
-14,420,-4.58,13.6,30,5.6,108.66,28.46,2.25,17,-6.67,3.16,-816.22,-1.17,,False
-1,15,-8.46,2.8,3,0.32,-41.34,20.58,3.51,20.36,-5.52,-0.42,-490.22,2.54,-7.47,True
1,45,-8.26,2.02,3,0.91,-80.34,19.7,9.24,22.42,-7.26,0.4,-506.22,1.28,,False
-14,900,-3.83,28.4,30,5.5,-266.34,30.86,-6.39,15.5,-4,-6.5,-776.22,-1.68,-5.05,False
-14,240,-3.13,21.2,30,5,-71.34,33.96,-7.95,12.48,-5.99,-7.34,-866.22,-3.13,-7.46,False
-4,1050,-2.91,13,30,6.05,108.66,32.56,-10.11,13.18,-7.65,-8.18,-576.22,-3.05,-6.46,False
-1,6,-7.11,2.1,3,0.45,-122.34,19.1,8.07,21.48,-7.09,1.48,-468.22,2.47,,False
-1,126,-7.4,0.08,3,0.64,-137.34,20.32,5.88,22.1,-6.46,0.64,-488.22,0.63,,True
-24,330,-3.66,17.6,30,6.2,-326.34,30.26,-5.01,16.48,-4.7,-5.66,-876.22,-2,,False
-1,21,-8.2,1.06,3,1.02,-107.34,19.56,5.49,21.98,-5.78,0.56,-484.22,3.01,,False
-2,0,-7.75,2.12,3,0.84,-152.34,18.92,6.15,20.68,-5.26,2.14,-528.22,0.95,-6.65,True
-4,45,-3.27,17.8,30,6.6,93.66,33.36,-1.23,10.26,-4.45,-8.98,-806.22,-1.02,,False
-1,153,-8.38,3.74,3,0.42,-44.34,20.58,4.14,24.28,-5.72,6.56,-532.22,1.81,,True
1,6,-9.89,2.6,3,0.21,-77.34,20.36,3.6,19.42,-5.52,-0.24,-512.22,2.68,,False
-4,690,-1.53,18.3,30,7.75,-41.34,36.46,-11.82,12.22,-5.74,-8.3,-696.22,-3.5,-7.97,True
-3,138,-7.52,3.76,3,0.91,-104.34,19,4.53,20,-8.28,1.04,-500.22,1.7,-6.34,False
-4,825,-2.06,15,30,8.1,138.66,33.16,-8.22,11.74,-6.2,-6.8,-786.22,-2.77,-5.9,False
-14,555,-2.7,21.2,30,8.75,-326.34,29.56,-6.33,20.14,-4.5,-7.4,-656.22,-1.07,-6.91,False
-3,66,-7.76,2.48,3,0.66,-134.34,19.6,9.78,19.62,-5.66,0.74,-526.22,1.14,-7.13,False
-1,27,-10.7,1.14,3,0.23,-149.34,20.46,5.7,19.7,-5.46,1.44,-492.22,0.65,-7.24,True
-1,81,-6.96,1.72,3,0.29,-110.34,20.24,7.29,19.46,-6.7,2.1,-508.22,2.62,,False
-3,159,-7.54,3.84,3,0.5,-110.34,19.98,4.68,21.18,-5.89,-0.26,-556.22,0.81,,False
-3,225,-6.71,2.7,3,0.43,-143.34,19.98,4.35,21.34,-6.14,2.6,-504.22,2.04,-6.63,False
-1,60,-7.19,2.08,3,0.34,-146.34,19.88,11.64,20.8,-5.52,4.64,-474.22,1.99,-6.38,False
-1,18,-6.81,1.74,3,0.19,-140.34,20.16,3.81,19.94,-5.22,1.9,-468.22,1.83,-7.84,True
-4,330,-4.28,27.6,30,7.05,168.66,31.76,-6.69,12.54,-5.52,-6.16,-886.22,-1.18,,False
-3,210,-6.97,1.98,3,0.69,-113.34,20.22,3.6,19.32,-6.81,2.72,-530.22,1.16,-9.05,True
-24,180,-2.83,17.8,30,6.15,-206.34,33.16,-7.83,13.24,-5.01,-7.56,-906.22,2.09,,False
-1,12,-8.16,3.58,3,0.46,-122.34,19.34,5.55,20.7,-6.13,0.66,-540.22,1.35,-5.83,False
-1,24,-10.25,1.34,3,0.71,-128.34,20.62,6.51,24.06,-5.99,1.52,-490.22,0.87,-9.12,True
-3,54,-7.48,0.8,3,0.18,-128.34,20.58,11.34,21.52,-6.12,-0.46,-492.22,0.97,-6.48,False
-3,9,-8.23,1.76,3,0.49,-137.34,19.88,16.92,20.34,-5.34,5.1,-520.22,2.15,,True
-0,0,-8.17,1.5,3,0.42,-113.34,20.02,5.1,21.24,-5.72,0.94,-482.22,0.92,,False
-1,99,-8.3,3.32,3,0.1,-95.34,19.96,3.72,24.62,-5.44,2.9,-478.22,1.11,-6.3,False
-3,21,-7.2,0.86,3,0.48,-122.34,20.68,4.62,20.04,-6.19,1.52,-472.22,2.01,,True
-14,60,-3.32,13.3,30,8,-176.34,29.76,-8.94,13.34,-3.95,-6.86,-696.22,-2.97,-6.57,False
-14,420,-2.96,16,30,7.5,-86.34,30.46,4.86,10.04,-8.16,-9.38,-516.22,-3.3,,True
-4,390,-2.27,10.4,30,9.9,-71.34,30.66,-5.76,11.12,-6.18,-10.48,-636.22,-4.2,-7.69,True
-3,84,-9.15,3.46,3,0.33,-146.34,19.98,5.52,19.32,-5.46,0.2,-512.22,1.11,,True
-3,195,-6.96,2.14,3,0.65,-131.34,20.72,5.31,21.8,-6.11,6.8,-550.22,0.74,-8.39,True
-4,315,-2.39,12.9,30,8.45,-41.34,29.76,-7.86,14.42,-5.18,-8.18,-706.22,-2.47,,False
-3,198,-7.72,2.1,3,0.29,-131.34,20.62,3.15,18.92,-5.75,0.02,-472.22,4.57,-7.11,True
1,42,-9.96,3.54,3,0.74,-47.34,19.68,7.14,20.42,-5.84,1.08,-492.22,0.69,,False
-4,255,-2.98,25.8,30,8,123.66,30.66,-9.72,11.78,-5.46,-5.26,-586.22,-2.92,-8.96,True
-3,12,-10.71,1.08,3,0.59,-116.34,19.26,5.34,21.8,-5.29,-0.1,-506.22,2.64,,False
-4,795,-1.11,14.8,30,6.55,18.66,37.56,-11.64,7.98,-5.96,-8.28,-496.22,-3.61,,True
-4,375,-4.31,16.5,30,5.45,93.66,30.36,-1.11,23,-6.46,-6.88,-736.22,-2.17,,False
-3,66,-7.2,2.2,3,0.55,-122.34,20.6,5.58,23.58,-5.94,2.28,-506.22,1.58,-8.06,True
-14,435,-3.84,11,30,9.05,-236.34,30.76,-8.88,12.32,-4.51,-0.22,-936.22,-2.75,,False
-14,405,-2.93,18.4,30,5.35,-221.34,31.96,-7.71,12.84,-5.26,-5.86,-706.22,1.76,,False
-3,81,-6.75,0.4,3,0.88,-134.34,20.04,5.04,21.36,-7.51,6.74,-518.22,5.92,-7.38,False
-4,285,-2.88,16.3,30,5.8,-86.34,32.56,-9.3,12.12,-5.91,-5.88,-606.22,0.48,,False
-1,126,-7.36,3,3,0.64,-38.34,19.78,4.41,19.88,-5.92,0.46,-502.22,1.41,-7.85,True
-3,54,-7.61,1.34,3,0.51,-128.34,19.74,6.66,20.5,-5.67,0.46,-524.22,1.84,-6.49,False
-1,114,-13.21,2.92,3,0.79,-41.34,19.94,5.1,19.88,-6.98,5.94,-532.22,1.61,-8.89,True
-14,360,-4.42,17,30,5.5,-41.34,29.56,-1.65,16.58,-4.95,-1.76,-776.22,-1.11,,False
-14,825,-4.54,15.1,30,5.1,-101.34,30.46,-4.02,13.78,-6.86,-5.06,-786.22,-2.14,-5.82,False
-1,63,-7.09,2.78,3,0.73,-44.34,19.7,7.14,23.8,-5.66,0.76,-476.22,0.67,-7.41,False
-3,213,-8,4.16,3,0.88,-131.34,19.1,4.47,20.98,-6.11,0.8,-458.22,2.24,-6.78,False
-4,825,-2.34,21,30,6.7,-11.34,36.76,-9.78,11.5,-6.48,-7.14,-906.22,-3.25,,False
-1,12,-7.79,2.44,3,0.34,-146.34,19.32,5.52,19.36,-6.59,6.62,-456.22,1.53,,True
-1,39,-7.74,2.98,3,0.45,-149.34,19.08,6.87,21.24,-6.11,0.28,-526.22,1.73,,False
-4,1050,-4.22,16.4,30,5.55,138.66,30.46,-6.51,12.62,-6.22,-3.6,-636.22,-1.14,-5.49,False
-14,165,-3.47,19.5,30,9.4,93.66,29.06,-7.83,11.66,-8.62,-7.74,-916.22,-3.03,,False
-14,810,-5.08,18.5,30,6.3,-296.34,33.86,-2.88,10.74,-7.39,0.54,-846.22,-3.68,-6.38,False
-1,15,-6.9,0.44,3,0.79,-53.34,19.96,3.72,21.74,-6.62,-0.62,-498.22,1.54,,True
-4,270,-2.31,16.3,30,5.95,-71.34,34.36,-5.94,11.88,-7.06,-9.4,-706.22,-3.86,-8.35,True
-14,495,-1.59,17.9,30,9.8,93.66,32.56,-9.72,9.26,-5.02,-10.94,-616.22,-2.66,-8.68,True
-4,1050,-1.52,15,30,7.85,153.66,36.76,-12.03,9.08,-6.23,-8.32,-906.22,-3.27,-5.5,False
-3,216,-7.61,0.32,3,0.73,-134.34,20.48,3.48,24.86,-6.94,6.38,-510.22,5.31,,True
-4,675,-2.15,12.4,30,8.6,168.66,29.66,-9.3,14.5,-6.94,-5.38,-536.22,-2.35,-6.13,False
-1,72,-7.04,3.64,3,0.99,-107.34,19.42,3.66,22.58,-5.32,0.96,-466.22,1.76,,True
-14,810,-3.05,15.2,30,6.75,-206.34,36.76,-8.52,8.52,-4.88,-10.16,-626.22,-1.26,-7.93,True
-1,60,-6.65,2.84,3,0.91,-41.34,19.36,9.42,23.36,-8.08,-0.26,-464.22,1.18,-6.24,False
-14,915,-3.73,22.7,30,6.9,123.66,29.46,-2.85,16.06,-8.5,-6.48,-856.22,-1.67,-5.9,False
-4,645,-2.33,13.8,30,8,123.66,34.06,-7.77,10.08,-6.35,-6.66,-536.22,-4.44,-7.08,False
-24,1035,-5.61,12.9,30,8.1,-386.34,30.26,-4.5,13.3,-5.13,-7.74,-586.22,-2.93,,True
-1,87,-6.66,1.1,3,0.19,-113.34,20.5,4.47,21.06,-6.89,5.44,-504.22,0.88,-6.73,False
-4,765,-1.33,16.9,30,5.25,-86.34,38.16,-13.08,8.88,-6.81,-10.1,-486.22,-3.17,-8.72,True
-1,63,-8.47,0.82,3,0.82,-146.34,19.98,9.75,19.32,-5.9,-0.12,-474.22,1.33,,True
-4,780,-2.53,14.1,30,7.1,-71.34,31.06,-3.15,12.74,-8,-8.58,-626.22,-3.22,,False
-1,6,-7.74,2.3,3,0.49,-149.34,19.2,12.99,20.64,-6.54,0.14,-522.22,1.49,-5.54,False
-14,990,-6.53,11.9,30,5.25,-146.34,29.46,-1.32,16.6,-5.73,-2.02,-916.22,-0.51,-5.04,False
-3,222,-6.63,2.74,3,0.2,-149.34,20.44,5.04,26.36,-5.58,-0.06,-492.22,2.22,,False
-14,195,-2.03,12,30,10.05,63.66,30.46,-9.75,9.72,-5.22,-7.76,-546.22,-3.42,,True
-24,75,-3.88,18.6,30,5.5,-146.34,29.36,-5.7,13.52,-4.39,-6.3,-686.22,-1.55,,False
-1,45,-7.86,1.2,3,0.48,-155.34,20.24,7.56,20.42,-6.31,4.16,-470.22,0.78,-8.45,True
-14,165,-2.53,15.7,30,9.05,-251.34,29.76,-9.75,12.98,-5.49,-6.4,-696.22,-3.47,-6.14,False
-4,75,-5.13,20.8,30,6.55,108.66,34.86,3.78,14.36,-5.37,-9.3,-886.22,-3.57,,True
